epoch,train_loss,val_loss,train_error1,val_error1,train_error5,val_error5
1,1.782058000869751,1.6436738025665283,70.63,66.64,16.676000000000002,11.819999999999993
2,1.4757100821685791,1.6283851821899413,60.206,64.75999999999999,9.963999999999999,12.260000000000005
3,1.306805742416382,1.286431787109375,55.024,54.64,7.469999999999999,6.75
4,1.1918429370117187,1.2972333053588867,51.196,54.42,6.0120000000000005,6.170000000000002
5,1.1016965546035766,1.1593066970825194,47.99,50.76,5.0859999999999985,5.159999999999997
6,1.0281248870849609,1.0816730772018432,45.504,47.81,4.329999999999998,4.450000000000003
7,0.9778424359893799,1.1046706322669984,43.424,48.57,3.950000000000003,4.730000000000004
8,0.9345356764221191,0.9990648826599121,42.002,44.83,3.519999999999996,4.090000000000003
9,0.8928775134658814,0.9778507383346557,40.42,43.21,3.382000000000005,3.519999999999996
10,0.8658958358383179,0.970162358379364,39.322,43.47,3.0259999999999962,3.8299999999999983
11,0.8415735352706909,0.9675088394165039,38.522,43.56,2.7519999999999953,3.680000000000007
12,0.8228077818298339,0.9614298793792725,37.714,42.83,2.7139999999999986,3.260000000000005
13,0.8007209814834595,0.9487109635353088,36.898,42.77,2.6340000000000003,3.299999999999997
14,0.7860390084838867,0.9426753169059754,36.52,42.8,2.549999999999997,3.1299999999999955
15,0.767302742843628,1.1422191593170166,35.518,47.38,2.396000000000001,3.719999999999999
16,0.7535782559013366,0.9148516180038452,35.208,39.91,2.3900000000000006,3.1200000000000045
17,0.7387750817298889,0.8835056099891663,34.534000000000006,39.39,2.2519999999999953,2.6700000000000017
18,0.7291066329956055,0.914390168762207,34.141999999999996,41.43,2.186000000000007,3.519999999999996
19,0.7163450037956238,0.9072550087928772,33.762,40.46,2.054000000000002,2.9000000000000057
20,0.7115855693054199,0.8991324827194214,33.818,41.21,2.0859999999999985,2.9200000000000017
21,0.695145002861023,0.8568995468616486,33.162000000000006,39.43,1.9680000000000035,2.4099999999999966
22,0.6895642771911621,0.8845223140716553,33.054,39.99,1.9579999999999984,2.5999999999999943
23,0.6786702905464173,0.9004995036125183,32.488,39.87,1.8739999999999952,2.799999999999997
24,0.6745194159317016,0.8391569288253784,32.397999999999996,39.32,1.8619999999999948,2.3299999999999983
