epoch,train_loss,val_loss,train_error1,val_error1,train_error5,val_error5
1,1.6330462914657593,1.0541108819007874,55.03,37.97,10.334000000000003,3.319999999999993
2,1.029199214324951,0.86848392162323,36.942,30.010000000000005,3.4039999999999964,2.0600000000000023
3,0.8256523794174194,0.6770144271850586,29.001999999999995,23.64,2.1340000000000003,1.25
4,0.7082123126792907,0.6490378684520721,24.837999999999994,22.28,1.5460000000000065,1.1500000000000057
5,0.631656636390686,0.5826878716468811,22.150000000000006,20.489999999999995,1.1839999999999975,1.0
6,0.5759151167678833,0.536946838092804,19.945999999999998,18.47,1.0619999999999976,0.980000000000004
7,0.5178735845851898,0.4889447823047638,18.028000000000006,17.03,0.7759999999999962,0.7999999999999972
8,0.473785447845459,0.4729387047767639,16.382000000000005,16.200000000000003,0.7039999999999935,0.7800000000000011
9,0.44293376029014586,0.43720086340904235,15.322000000000003,14.909999999999997,0.5739999999999981,0.5799999999999983
10,0.4129850252056122,0.4459494396686554,14.263999999999996,15.170000000000002,0.5220000000000056,0.6700000000000017
11,0.3289426935482025,0.3779505304336548,11.396,12.370000000000005,0.3199999999999932,0.4399999999999977
12,0.30498981147766113,0.36542808532714843,10.597999999999999,12.049999999999997,0.3020000000000067,0.4000000000000057
13,0.28493053700447085,0.3634371965408325,9.653999999999996,12.329999999999998,0.2540000000000049,0.4200000000000017
14,0.2691191386604309,0.36894259457588197,9.170000000000002,11.819999999999993,0.2259999999999991,0.4399999999999977
15,0.25251076278686524,0.36600470776557925,8.780000000000001,12.010000000000005,0.15000000000000568,0.37999999999999545
16,0.19906068367958069,0.31215535838603975,6.7180000000000035,10.230000000000004,0.13800000000000523,0.3499999999999943
17,0.18429569889068603,0.3100536316871643,6.122,10.280000000000001,0.1280000000000001,0.3199999999999932
18,0.1761235475540161,0.30785057106018066,5.936000000000007,10.14,0.1039999999999992,0.25
19,0.16816108863830567,0.30663567051887514,5.6059999999999945,9.920000000000002,0.0799999999999983,0.2600000000000051
